"filename", "language", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Users\Vartotojas\Desktop\Bakalauras\Bakalauro_darbas\JourneyFy\src\assets\xml\svg.ts", "TypeScript", 0, 55, 0, 7, 62
"c:\Users\Vartotojas\Desktop\Bakalauras\Bakalauro_darbas\JourneyFy\src\components\Entry\EntryButton.tsx", "TypeScript JSX", 65, 0, 0, 6, 71
"c:\Users\Vartotojas\Desktop\Bakalauras\Bakalauro_darbas\JourneyFy\src\components\Entry\EntryInputField.tsx", "TypeScript JSX", 73, 0, 0, 4, 77
"c:\Users\Vartotojas\Desktop\Bakalauras\Bakalauro_darbas\JourneyFy\src\constants\Colors.ts", "TypeScript", 0, 47, 0, 7, 54
"c:\Users\Vartotojas\Desktop\Bakalauras\Bakalauro_darbas\JourneyFy\src\hooks\useAuth.tsx", "TypeScript JSX", 93, 0, 0, 16, 109
"c:\Users\Vartotojas\Desktop\Bakalauras\Bakalauro_darbas\JourneyFy\src\hooks\useUser.tsx", "TypeScript JSX", 105, 0, 0, 23, 128
"c:\Users\Vartotojas\Desktop\Bakalauras\Bakalauro_darbas\JourneyFy\src\navigations\AppNavigation.tsx", "TypeScript JSX", 22, 0, 0, 6, 28
"c:\Users\Vartotojas\Desktop\Bakalauras\Bakalauro_darbas\JourneyFy\src\navigations\EntryNavigation.tsx", "TypeScript JSX", 24, 0, 0, 3, 27
"c:\Users\Vartotojas\Desktop\Bakalauras\Bakalauro_darbas\JourneyFy\src\navigations\MainNavigation.tsx", "TypeScript JSX", 69, 0, 0, 4, 73
"c:\Users\Vartotojas\Desktop\Bakalauras\Bakalauro_darbas\JourneyFy\src\navigations\navigation.ts", "TypeScript", 0, 3, 0, 0, 3
"c:\Users\Vartotojas\Desktop\Bakalauras\Bakalauro_darbas\JourneyFy\src\screens\Entry\ForgotPassword.tsx", "TypeScript JSX", 132, 0, 0, 5, 137
"c:\Users\Vartotojas\Desktop\Bakalauras\Bakalauro_darbas\JourneyFy\src\screens\Entry\Login.tsx", "TypeScript JSX", 156, 0, 0, 10, 166
"c:\Users\Vartotojas\Desktop\Bakalauras\Bakalauro_darbas\JourneyFy\src\screens\Entry\MainInfo.tsx", "TypeScript JSX", 128, 0, 0, 8, 136
"c:\Users\Vartotojas\Desktop\Bakalauras\Bakalauro_darbas\JourneyFy\src\screens\Entry\Register.tsx", "TypeScript JSX", 130, 0, 0, 4, 134
"c:\Users\Vartotojas\Desktop\Bakalauras\Bakalauro_darbas\JourneyFy\src\screens\Main\Chat.tsx", "TypeScript JSX", 31, 0, 0, 9, 40
"c:\Users\Vartotojas\Desktop\Bakalauras\Bakalauro_darbas\JourneyFy\src\screens\Main\Home.tsx", "TypeScript JSX", 157, 0, 0, 13, 170
"c:\Users\Vartotojas\Desktop\Bakalauras\Bakalauro_darbas\JourneyFy\src\screens\Main\Journey.tsx", "TypeScript JSX", 336, 0, 0, 22, 358
"c:\Users\Vartotojas\Desktop\Bakalauras\Bakalauro_darbas\JourneyFy\src\screens\Main\Settings.tsx", "TypeScript JSX", 408, 0, 0, 28, 436
"c:\Users\Vartotojas\Desktop\Bakalauras\Bakalauro_darbas\JourneyFy\src\services\firebase.tsx", "TypeScript JSX", 22, 0, 0, 4, 26
"Total", "-", 1951, 105, 0, 179, 2235
