Date : 2025-03-24 10:31:40
Directory : c:\Users\Administrator\Desktop\bakalauras\JourneyFy
Total : 96 files,  28830 codes, 34 comments, 884 blanks, all 29748 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          4 |     15,658 |          0 |          4 |     15,662 |
| JavaScript         |         60 |     10,254 |         24 |        628 |     10,906 |
| TypeScript JSX     |         26 |      2,740 |         10 |        215 |      2,965 |
| TypeScript         |          4 |        123 |          0 |         19 |        142 |
| Markdown           |          1 |         51 |          0 |         17 |         68 |
| JSON with Comments |          1 |          4 |          0 |          1 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                     |         96 |     28,830 |         34 |        884 |     29,748 |
| . (Files)                                                                                                                             |         10 |     15,762 |          0 |         28 |     15,790 |
| _tests_                                                                                                                               |          1 |          9 |          0 |          2 |         11 |
| src                                                                                                                                   |         85 |     13,059 |         34 |        854 |     13,947 |
| src\assets                                                                                                                            |          1 |         62 |          0 |         11 |         73 |
| src\assets\xml                                                                                                                        |          1 |         62 |          0 |         11 |         73 |
| src\components                                                                                                                        |         12 |        683 |          0 |         61 |        744 |
| src\components (Files)                                                                                                                |          4 |        233 |          0 |         20 |        253 |
| src\components\Entry                                                                                                                  |          2 |        172 |          0 |          8 |        180 |
| src\components\Profile                                                                                                                |          6 |        278 |          0 |         33 |        311 |
| src\constants                                                                                                                         |          3 |        328 |          0 |         61 |        389 |
| src\hooks                                                                                                                             |          8 |        534 |          7 |         91 |        632 |
| src\locales                                                                                                                           |          2 |         90 |          0 |          4 |         94 |
| src\navigations                                                                                                                       |         11 |        470 |          4 |         38 |        512 |
| src\screens                                                                                                                           |         45 |     10,805 |         23 |        571 |     11,399 |
| src\screens\Entry                                                                                                                     |          7 |      1,227 |          0 |         73 |      1,300 |
| src\screens\Entry (Files)                                                                                                             |          4 |        626 |          0 |         29 |        655 |
| src\screens\Entry\auth                                                                                                                |          3 |        601 |          0 |         44 |        645 |
| src\screens\Main                                                                                                                      |          5 |      1,820 |         10 |        104 |      1,934 |
| src\screens\TemplateAdditional                                                                                                        |          1 |        145 |          0 |          5 |        150 |
| src\screens\TemplateAdditional\reviews                                                                                                |          1 |        145 |          0 |          5 |        150 |
| src\screens\TemplateInfo                                                                                                              |          1 |        196 |          0 |         15 |        211 |
| src\screens\TemplateInfo\notifications                                                                                                |          1 |        196 |          0 |         15 |        211 |
| src\screens\TemplateJourney                                                                                                           |         16 |      5,308 |         13 |        244 |      5,565 |
| src\screens\TemplateJourney\addVehicle                                                                                                |          1 |        336 |          0 |         15 |        351 |
| src\screens\TemplateJourney\availableRides                                                                                            |          1 |        280 |          0 |         11 |        291 |
| src\screens\TemplateJourney\confirmPooling                                                                                            |          1 |         75 |          0 |          7 |         82 |
| src\screens\TemplateJourney\endRide                                                                                                   |          1 |        474 |          4 |         14 |        492 |
| src\screens\TemplateJourney\historyRideDetail                                                                                         |          1 |        396 |          0 |         19 |        415 |
| src\screens\TemplateJourney\message                                                                                                   |          1 |        260 |          0 |         13 |        273 |
| src\screens\TemplateJourney\offerRide                                                                                                 |          1 |        425 |          0 |         17 |        442 |
| src\screens\TemplateJourney\onboarding                                                                                                |          1 |        292 |          0 |         16 |        308 |
| src\screens\TemplateJourney\pickLocation                                                                                              |          2 |        443 |          4 |         38 |        485 |
| src\screens\TemplateJourney\rideComplete                                                                                              |          1 |         76 |          0 |          7 |         83 |
| src\screens\TemplateJourney\rideDetail                                                                                                |          1 |        622 |          0 |         24 |        646 |
| src\screens\TemplateJourney\rideMapView                                                                                               |          1 |        374 |          0 |         17 |        391 |
| src\screens\TemplateJourney\rideRequest                                                                                               |          1 |        532 |          0 |         18 |        550 |
| src\screens\TemplateJourney\rides                                                                                                     |          1 |        296 |          0 |         14 |        310 |
| src\screens\TemplateJourney\startRide                                                                                                 |          1 |        427 |          5 |         14 |        446 |
| src\screens\TemplateProfile                                                                                                           |          8 |      1,157 |          0 |         74 |      1,231 |
| src\screens\TemplateProfile\customerSupport                                                                                           |          1 |        221 |          0 |         10 |        231 |
| src\screens\TemplateProfile\editProfile                                                                                               |          1 |        130 |          0 |         15 |        145 |
| src\screens\TemplateProfile\faq                                                                                                       |          1 |         85 |          0 |          6 |         91 |
| src\screens\TemplateProfile\privacyPolicy                                                                                             |          1 |         80 |          0 |          7 |         87 |
| src\screens\TemplateProfile\profile                                                                                                   |          1 |        190 |          0 |         10 |        200 |
| src\screens\TemplateProfile\rideHistory                                                                                               |          1 |        254 |          0 |         10 |        264 |
| src\screens\TemplateProfile\termsAndConditions                                                                                        |          1 |         47 |          0 |          6 |         53 |
| src\screens\TemplateProfile\userVehicles                                                                                              |          1 |        150 |          0 |         10 |        160 |
