"filename", "language", "JSON", "JSON with Comments", "JavaScript", "Markdown", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\App.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\README.md", "Markdown", 0, 0, 0, 51, 0, 0, 0, 17, 68
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\App.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 2, 11
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\app.json", "JSON", 36, 0, 0, 0, 0, 0, 0, 1, 37
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\babel.config.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 1, 16
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\eas.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\env.d.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\jest.config.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\package-lock.json", "JSON", 15550, 0, 0, 0, 0, 0, 0, 1, 15551
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\package.json", "JSON", 74, 0, 0, 0, 0, 0, 0, 1, 75
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\assets\xml\svg.ts", "TypeScript", 0, 0, 0, 0, 62, 0, 0, 11, 73
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\AddAndSendMoney\AmountInfo.js", "JavaScript", 0, 0, 35, 0, 0, 0, 1, 4, 40
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\AddAndSendMoney\ContinueButton.js", "JavaScript", 0, 0, 24, 0, 0, 0, 1, 4, 29
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\AddAndSendMoney\WalletImage.js", "JavaScript", 0, 0, 21, 0, 0, 0, 1, 4, 26
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\AddVehicle\ImagePickerBottomSheet.js", "JavaScript", 0, 0, 105, 0, 0, 0, 0, 6, 111
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\AddVehicle\VehicleForm.js", "JavaScript", 0, 0, 105, 0, 0, 0, 0, 10, 115
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\AddVehicle\VehicleTypeSheet.js", "JavaScript", 0, 0, 83, 0, 0, 0, 0, 6, 89
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\BankInfo\AccountHolderInput.js", "JavaScript", 0, 0, 41, 0, 0, 0, 1, 4, 46
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\BankInfo\AccountNumberInput.js", "JavaScript", 0, 0, 45, 0, 0, 0, 1, 4, 50
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\BankInfo\BankNameInput.js", "JavaScript", 0, 0, 43, 0, 0, 0, 1, 4, 48
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\BankInfo\BranchCodeInput.js", "JavaScript", 0, 0, 43, 0, 0, 0, 1, 4, 48
