"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript JSX", "TypeScript", "Markdown", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\App.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\README.md", "Markdown", 0, 0, 0, 0, 0, 64, 0, 0, 0, 21, 85
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\__mocks__\@expo\vector-icons.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\__mocks__\expo-font.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\AddAndSendMoney\AmountInfo.test.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 4, 5, 32
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\AddAndSendMoney\ContinueButton.test.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 1, 4, 18
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\AddAndSendMoney\WalletImage.test.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 2, 3, 20
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\AddVehicle\ImagePickerBottomSheet.test.js", "JavaScript", 100, 0, 0, 0, 0, 0, 0, 0, 5, 15, 120
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\AddVehicle\VehicleForm.test.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 2, 12, 94
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\AddVehicle\VehicleTypeSheet.test.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 3, 9, 50
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\BankInfo\AccountHolderInput.test.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 3, 2, 17
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\BankInfo\AccountNumberInput.test.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 4, 2, 22
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\BankInfo\BankNameInput.test.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 4, 2, 22
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\BankInfo\BranchCodeInput.test.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 4, 2, 22
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\BankInfo\SubmitButton.test.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 1, 2, 16
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\BottomTabBarScreen.test.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 1, 4, 28
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\CreditCard\ContinueButton.test.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 1, 2, 16
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\CreditCard\CreditCardForm.test.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 4, 5, 37
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\CreditCard\PaypalForm.test.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 4, 5, 27
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\CustomerSupport\CallAndMailButtons.test.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\CustomerSupport\ContactInfo.test.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 3, 2, 17
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\CustomerSupport\SupportForm.test.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 4, 5, 33
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\CustomerSupport\SupportSubmitButton.test.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 1, 2, 16
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\EndRide\EndRideButton.test.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 3, 8, 63
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\EndRide\MapDirection.test.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 4, 4, 45
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\EndRide\PassengerList.test.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 3, 3, 29
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\EndRide\RideInfoSheet.test.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 6, 6, 40
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\EndRide\RouteList.test.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 7, 4, 46
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Entry\EntryButton.test.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 5, 4, 38
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Entry\EntryInputField.test.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 12, 8, 72
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Header.test.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 3, 5, 26
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\HistoryRideDetail\RateRideButton.test.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 1, 2, 16
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\HistoryRideDetail\RateRideDialog.test.js", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 0, 10, 12, 100
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\HistoryRideDetail\RiderDetail.test.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 6, 5, 31
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\HistoryRideDetail\RiderInfo.test.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 1, 4, 31
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\HistoryRideDetail\VehicleInfo.test.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 1, 3, 19
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Home\DateTimePickerSheet.test.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 5, 9, 67
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Home\Header.test.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 3, 6, 45
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Home\MapComponent.test.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 1, 3, 30
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Home\NoOfSeatSheet.test.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 3, 4, 31
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Home\RideInfoCard.test.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 6, 6, 65
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\LoadingIndicator.test.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Message\MessageHeader.test.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 9, 6, 57
